store_id,sheet,wave,fte_employment,treated_state,treated_post,chain,co_owned,wage_start
000,46,1,40.5,0,0,1,0,
000,46,2,24.0,0,0,1,0,4.3
001,49,1,13.75,0,0,2,0,
001,49,2,11.5,0,0,2,0,4.45
002,506,1,8.5,0,0,2,1,
002,506,2,10.5,0,0,2,1,5.0
003,56,1,34.0,0,0,4,1,5.0
003,56,2,20.0,0,0,4,1,5.25
004,61,1,24.0,0,0,4,1,5.5
004,61,2,35.5,0,0,4,1,4.75
005,62,1,20.5,0,0,4,1,5.0
005,62,2,,0,0,4,1,
006,445,1,70.5,0,0,1,0,5.0
006,445,2,29.0,0,0,1,0,4.75
007,451,1,23.5,0,0,1,0,5.0
007,451,2,36.5,0,0,1,0,5.0
008,455,1,11.0,0,0,2,1,5.25
008,455,2,11.0,0,0,2,1,5.0
009,458,1,9.0,0,0,2,1,5.0
009,458,2,8.5,0,0,2,1,5.0
010,462,1,15.5,0,0,3,1,5.0
010,462,2,17.5,0,0,3,1,4.75
011,468,1,58.0,0,0,1,0,5.0
011,468,2,29.0,0,0,1,0,5.0
012,469,1,26.5,0,0,1,0,5.0
012,469,2,30.5,0,0,1,0,4.5
013,470,1,28.5,0,0,1,0,5.5
013,470,2,26.0,0,0,1,0,4.75
014,474,1,13.5,0,0,1,0,5.0
014,474,2,18.0,0,0,1,0,4.5
015,481,1,16.75,0,0,2,1,5.25
015,481,2,20.0,0,0,2,1,5.0
016,483,1,9.5,0,0,2,1,5.0
016,483,2,13.5,0,0,2,1,4.75
017,487,1,15.0,0,0,3,1,5.0
017,487,2,19.0,0,0,3,1,4.75
018,488,1,29.5,0,0,3,0,5.0
018,488,2,15.5,0,0,3,0,4.75
019,489,1,18.5,0,0,3,0,5.0
019,489,2,14.5,0,0,3,0,4.25
020,490,1,20.25,0,0,3,1,5.0
020,490,2,14.0,0,0,3,1,5.0
021,493,1,36.0,0,0,3,1,5.0
021,493,2,19.0,0,0,3,1,4.9
022,495,1,21.0,0,0,3,0,5.0
022,495,2,21.0,0,0,3,0,5.0
023,496,1,20.5,0,0,3,1,5.0
023,496,2,18.0,0,0,3,1,4.75
024,499,1,19.0,0,0,4,1,5.0
024,499,2,20.5,0,0,4,1,5.0
025,509,1,14.0,0,0,3,1,5.0
025,509,2,13.5,0,0,3,1,4.25
026,515,1,19.0,0,0,3,1,5.0
