state,year,sid,cdl,pre2_cdl,caselaw,anywhere,assumption,civil,homicide_c,robbery_gun_r,jhcitizen_c,jhpolice_c,homicide,robbery,assault,burglary,larceny,motor,murder,hc_felonywsus,jhcitizen,jhpolice,population,police,unemployrt,income,blackm_15_24,whitem_15_24,blackm_25_44,whitem_25_44,prisoner,lagprisoner,poverty,exp_subsidy,exp_pubwelfare,northeast,midwest,south,west,effyear,r20001,r20002,r20003,r20004,r20011,r20012,r20013,r20014,r20021,r20022,r20023,r20024,r20031,r20032,r20033,r20034,r20041,r20042,r20043,r20044,r20051,r20052,r20053,r20054,r20061,r20062,r20063,r20064,r20071,r20072,r20073,r20074,r20081,r20082,r20083,r20084,r20091,r20092,r20093,r20094,r20101,r20102,r20103,r20104,trend_1,trend_2,trend_3,trend_4,trend_5,trend_6,trend_7,trend_8,trend_9,trend_10,trend_11,trend_12,trend_13,trend_14,trend_15,trend_16,trend_17,trend_18,trend_19,trend_20,trend_21,trend_22,trend_23,trend_24,trend_25,trend_26,trend_27,trend_28,trend_29,trend_30,trend_31,trend_32,trend_33,trend_34,trend_35,trend_36,trend_37,trend_38,trend_39,trend_40,trend_41,trend_42,trend_43,trend_44,trend_45,trend_46,trend_47,trend_48,trend_49,trend_50,trend_51,l_murder,l_homicide,l_homicide_c,l_robbery,l_assault,l_burglary,l_larceny,l_motor,l_robbery_gun,l_jhcitizen,l_jhpolice,l_hc_felonywsus,l_robbery_gun_r,l_pop,l_police,l_income,l_prisoner,l_lagprisoner,l_exp_subsidy,l_exp_pubwelfare,treatment_date,post,time_til,lead1,lead2,lead3,lead4,lead5,lead6,lead7,lead8,lead9,lag0,lag1,lag2,lag3,lag4,lag5,_Iyear_2001,_Iyear_2002,_Iyear_2003,_Iyear_2004,_Iyear_2005,_Iyear_2006,_Iyear_2007,_Iyear_2008,_Iyear_2009,_Iyear_2010,popwt
Alabama,2000,1,0.0,0.0,0.0,0,0,0,329,0.21080323,1,0,7.5939784,131.61357,325.6178,930.92017,2940.6238,295.65735,6.5322065,0.48472202,0.046164002,0.023082001,4332380,348.8382828837729,4.1,44851,2.2222428,4.69481,3.4716945,10.414437,605.3255,564.2741,14.705981469769503,212.26117,1018.497,0,0,1,0,2006.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8767447,2.0273557,5.7960577,4.87987,5.785724,6.8361735,7.9863772,5.6892014,-1.5568302,-3.0755548,-3.768702,-0.7241797,-1.5568302,15.281628,5.8546085,10.711102,6.4057665,6.3355403,5.3578176,6.926083,2006.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4499293.0
Alabama,2001,1,0.0,0.0,0.0,0,0,0,379,0.21436246,2,0,8.713443,128.3796,281.63504,934.3846,2758.69,290.11856,7.4949403,0.66672784,0.06897184,0.022990614,4349601,351.82537432743834,4.7,43301,2.2499535,4.700201,3.4402466,10.186382,614.79205,605.3255,15.750203294509083,221.89029,1068.9286,0,0,1,0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014228,2.164867,5.9375362,4.8549914,5.640612,6.839888,7.922511,5.6702895,-1.540087,-2.674057,-3.7726693,-0.40537336,-1.540087,15.285595,5.863135,10.675931,6.421284,6.4057665,5.402183,6.974412,2006.0,0.0,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,4499293.0
Alabama,2002,1,0.0,0.0,0.0,0,0,0,303,0.4240188,3,2,6.9332876,136.42331,274.6314,974.2757,2835.829,317.8329,6.4069986,0.5949356,0.09152855,0.068646416,4370221,311.4945445550694,5.4,45573,2.258261,4.685461,3.4039927,9.957734,640.1049,614.79205,15.556558810183741,257.72638,1139.9626,0,0,1,0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8573909,1.9363341,5.7137327,4.9157624,5.61543,6.8816943,7.9500895,5.7615256,-0.8579775,-2.3911042,-2.6787863,-0.5193021,-0.8579775,15.290324,5.7413816,10.727071,6.4616323,6.421284,5.5518985,7.0387506,2006.0,0.0,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,4499293.0
Alabama,2003,1,0.0,0.0,0.0,0,0,0,299,0.2454455,2,1,6.8180065,137.6827,258.537,986.10266,2828.4238,341.05994,6.567177,0.31923777,0.068408094,0.045605395,4385446,348.5620390719667,5.5,44165,2.292948,4.688166,3.3832135,9.79141,636.4917,640.1049,15.447801660310034,270.94,1224.6659,0,0,1,0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.882084,1.9195671,5.7004437,4.9249516,5.555039,6.8937607,7.947475,5.8320584,-1.4046804,-2.682264,-3.0877292,-1.1418191,-1.4046804,15.293802,5.853816,10.695688,6.4559712,6.4616323,5.6018972,7.1104236,2006.0,0.0,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,4499293.0
Alabama,2004,1,0.0,1.0,0.0,0,0,0,254,0.2610063,3,0,5.7536893,136.86531,255.65407,1011.7885,2800.9592,317.67612,5.595123,0.22652319,0.090609275,0.022652319,4414559,327.9149740664922,5.1,42280,2.2913275,4.661734,3.3588407,9.599033,586.4006,636.4917,16.252654002359012,264.96155,1194.5436,0,0,1,0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7218953,1.7498412,5.5373344,4.9189973,5.543825,6.919475,7.9377174,5.7610326,-1.3432107,-2.4011986,-3.787493,-1.484908,-1.3432107,15.300419,5.792754,10.652069,6.374003,6.4559712,5.5795846,7.0855193,2006.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,4499293.0
Alabama,2005,1,0.0,1.0,0.0,0,0,0,374,0.18737397,0,1,8.418573,145.1191,254.2004,978.55786,2718.7039,295.77554,6.932943,0.56273884,0.022509554,0.04501911,4442558,287.8071597489555,3.9,41491,2.3120463,4.635865,3.35721,9.449511,627.74646,586.4006,16.87298173709831,78.91187,1103.1418,0,0,1,0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9362844,2.1304405,5.924256,4.977555,5.538123,6.88608,7.9079103,5.689601,-1.6746489,-3.7938154,-3.1006682,-0.5749396,-1.6746489,15.306741,5.6622906,10.633232,6.4421363,6.374003,4.368332,7.0059175,2006.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,4499293.0
Alabama,2006,1,0.58082193,0.0,0.0,1,0,1,368,0.21527778,3,3,8.001687,153.42366,227.87415,968.9217,2645.123,322.93765,6.784039,0.45661804,0.08697486,0.08697486,4599030,341.311102558583,3.6,41041,2.2692394,4.483489,3.2928684,9.08883,614.0643,627.74646,16.167670139138036,83.175766,1061.6837,0,0,1,0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9145726,2.0796523,5.908083,5.033203,5.4287934,6.876184,7.8804727,5.777459,-1.5358261,-2.4421363,-2.4421363,-0.783908,-1.5358261,15.341356,5.832794,10.622327,6.4200997,6.4421363,4.420956,6.9676113,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,4499293.0
Alabama,2007,1,1.0,0.0,0.0,1,0,1,392,0.21332072,3,4,8.54794,161.40779,248.34819,989.11884,2711.616,310.4952,7.653896,0.71959704,0.08722388,0.10902985,4585900,356.46219935018206,3.5,44388,2.2898014,4.504067,3.338494,9.052967,641.3572,614.0643,16.3587736322205,93.832405,1093.5315,0,0,1,0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0352147,2.1456904,5.971262,5.083934,5.5148315,6.8968143,7.9053,5.7381682,-1.5449585,-2.4392772,-2.2161336,-0.3290639,-1.5449585,15.338497,5.8762283,10.700725,6.4635863,6.4200997,4.54151,6.9971676,2006.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,4499293.0
Alabama,2008,1,1.0,0.0,0.0,1,0,1,357,0.31781045,3,1,7.718328,158.77704,254.89941,1089.1923,2734.0825,290.8318,7.264309,0.54049915,0.086479865,0.043239933,4625354,349.6381033754389,4.9,45039,2.2850144,4.4733872,3.351938,8.916204,659.582,641.3572,15.606913546509087,91.43205,1003.31165,0,0,1,0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9829732,2.0435977,5.8777356,5.067501,5.540869,6.9931917,7.9135513,5.672745,-1.1463002,-2.4478436,-3.1409907,-0.6152622,-1.1463002,15.347063,5.856899,10.715284,6.491606,6.4635863,4.515596,6.9110613,2006.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,4499293.0
Alabama,2009,1,1.0,0.0,0.0,1,0,1,322,0.29672787,0,0,6.9496,135.21504,282.79694,1054.181,2548.302,239.37273,6.86327,0.49640003,0.021582609,0.021582609,4633360,365.11300654384723,9.9,40640,2.2777638,4.4550176,3.3867862,8.858172,685.9817,659.582,17.378813647115702,103.83958,1195.9418,0,0,1,0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9261839,1.9386841,5.7745514,4.9068666,5.644729,6.9605193,7.8431826,5.478022,-1.2149398,-3.8358674,-3.8358674,-0.7003732,-1.2149398,15.348793,5.900207,10.612508,6.530851,6.491606,4.642847,7.0866895,2006.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,4499293.0
