county_fips,county_name,year,deaths,population,crude_rate,state_fips,state,status,pct_uninsured,pct_uninsured_moe,median_hh_income,poverty_rate,county_name_state,unemployment_rate,never_treated,treated_post
01001,"Autauga County, AL",2009,412,54135,761.06,01,Alabama,Not Adopted,18.0,1.7,53081.0,11.2,"Autauga County, AL",8.6,True,0
01001,"Autauga County, AL",2010,433,54571,793.46,01,Alabama,Not Adopted,17.4,1.8,53049.0,11.9,"Autauga County, AL",8.8,True,0
01001,"Autauga County, AL",2011,456,55267,825.09,01,Alabama,Not Adopted,18.0,1.8,48863.0,14.9,"Autauga County, AL",8.3,True,0
01001,"Autauga County, AL",2012,514,55514,925.89,01,Alabama,Not Adopted,16.9,1.7,51441.0,12.7,"Autauga County, AL",7.1,True,0
01001,"Autauga County, AL",2013,535,55246,968.4,01,Alabama,Not Adopted,17.4,1.7,51868.0,13.5,"Autauga County, AL",6.3,True,0
01001,"Autauga County, AL",2014,482,55395,870.11,01,Alabama,Not Adopted,14.2,1.6,54366.0,13.1,"Autauga County, AL",5.8,True,0
01001,"Autauga County, AL",2015,523,55347,944.95,01,Alabama,Not Adopted,12.2,1.4,56580.0,12.7,"Autauga County, AL",5.2,True,0
01001,"Autauga County, AL",2016,520,55416,938.36,01,Alabama,Not Adopted,11.0,1.5,54487.0,13.5,"Autauga County, AL",5.1,True,0
01001,"Autauga County, AL",2017,528,55504,951.28,01,Alabama,Not Adopted,11.1,1.4,58343.0,13.4,"Autauga County, AL",4.0,True,0
01001,"Autauga County, AL",2018,536,55601,964.01,01,Alabama,Not Adopted,13.0,1.6,59338.0,13.8,"Autauga County, AL",3.6,True,0
01001,"Autauga County, AL",2019,545,55869,975.5,01,Alabama,Not Adopted,12.0,1.5,58233.0,12.1,"Autauga County, AL",2.9,True,0
01003,"Baldwin County, AL",2009,1708,179406,952.03,01,Alabama,Not Adopted,20.2,1.6,48637.0,13.3,"Baldwin County, AL",8.6,True,0
01003,"Baldwin County, AL",2010,1798,182265,986.48,01,Alabama,Not Adopted,23.1,1.8,47618.0,13.3,"Baldwin County, AL",9.9,True,0
01003,"Baldwin County, AL",2011,1852,186717,991.88,01,Alabama,Not Adopted,20.9,1.7,50144.0,13.4,"Baldwin County, AL",8.9,True,0
01003,"Baldwin County, AL",2012,1801,190790,943.97,01,Alabama,Not Adopted,19.9,1.6,48867.0,13.9,"Baldwin County, AL",7.7,True,0
01003,"Baldwin County, AL",2013,1973,195540,1009.0,01,Alabama,Not Adopted,22.0,1.7,47539.0,14.2,"Baldwin County, AL",6.8,True,0
