year,statefips,countyfips,pctui,pctui_moe,state_name,county_name
2009,01,001,18.0,1.7,Alabama,Autauga County
2009,01,003,20.2,1.6,Alabama,Baldwin County
2009,01,005,22.6,2.2,Alabama,Barbour County
2009,01,007,22.2,2.2,Alabama,Bibb County
2009,01,009,22.2,2.0,Alabama,Blount County
2009,01,011,25.4,2.7,Alabama,Bullock County
2009,01,013,22.7,2.1,Alabama,Butler County
2009,01,015,19.3,1.6,Alabama,Calhoun County
2009,01,017,23.4,2.1,Alabama,Chambers County
2009,01,019,21.7,2.1,Alabama,Cherokee County
2009,01,021,24.1,2.2,Alabama,Chilton County
2009,01,023,22.4,2.1,Alabama,Choctaw County
2009,01,025,21.1,2.1,Alabama,Clarke County
2009,01,027,22.0,2.1,Alabama,Clay County
2009,01,029,22.2,2.2,Alabama,Cleburne County
2009,01,031,19.4,1.8,Alabama,Coffee County
2009,01,033,19.8,1.8,Alabama,Colbert County
2009,01,035,20.8,2.1,Alabama,Conecuh County
2009,01,037,19.3,2.0,Alabama,Coosa County
2009,01,039,23.5,2.2,Alabama,Covington County
2009,01,041,23.0,2.2,Alabama,Crenshaw County
2009,01,043,23.4,1.9,Alabama,Cullman County
2009,01,045,20.7,1.9,Alabama,Dale County
2009,01,047,21.5,2.0,Alabama,Dallas County
2009,01,049,26.1,2.1,Alabama,DeKalb County
2009,01,051,17.9,1.6,Alabama,Elmore County
2009,01,053,23.6,2.2,Alabama,Escambia County
2009,01,055,21.4,1.8,Alabama,Etowah County
2009,01,057,20.6,2.0,Alabama,Fayette County
2009,01,059,25.1,2.2,Alabama,Franklin County
2009,01,061,24.5,2.2,Alabama,Geneva County
2009,01,063,21.9,2.4,Alabama,Greene County
2009,01,065,22.9,2.3,Alabama,Hale County
2009,01,067,21.8,2.1,Alabama,Henry County
2009,01,069,21.3,1.4,Alabama,Houston County
2009,01,071,20.5,1.9,Alabama,Jackson County
2009,01,073,17.8,1.1,Alabama,Jefferson County
2009,01,075,21.7,2.1,Alabama,Lamar County
2009,01,077,19.9,1.7,Alabama,Lauderdale County
2009,01,079,22.1,2.0,Alabama,Lawrence County
2009,01,081,18.8,1.6,Alabama,Lee County
2009,01,083,19.5,1.7,Alabama,Limestone County
2009,01,085,21.9,2.3,Alabama,Lowndes County
2009,01,087,20.9,2.4,Alabama,Macon County
2009,01,089,15.8,1.2,Alabama,Madison County
2009,01,091,22.3,2.2,Alabama,Marengo County
2009,01,093,22.3,2.1,Alabama,Marion County
2009,01,095,24.1,1.9,Alabama,Marshall County
2009,01,097,21.8,1.4,Alabama,Mobile County
2009,01,099,21.9,2.1,Alabama,Monroe County
2009,01,101,17.6,1.5,Alabama,Montgomery County
2009,01,103,19.5,1.6,Alabama,Morgan County
2009,01,105,22.3,2.4,Alabama,Perry County
2009,01,107,20.3,2.0,Alabama,Pickens County
2009,01,109,21.0,2.1,Alabama,Pike County
2009,01,111,23.8,2.2,Alabama,Randolph County
2009,01,113,23.0,2.3,Alabama,Russell County
2009,01,115,21.0,1.9,Alabama,St. Clair County
2009,01,117,12.8,1.1,Alabama,Shelby County
2009,01,119,25.0,2.7,Alabama,Sumter County
2009,01,121,19.7,1.8,Alabama,Talladega County
2009,01,123,21.0,1.9,Alabama,Tallapoosa County
2009,01,125,16.8,1.4,Alabama,Tuscaloosa County
2009,01,127,21.9,1.8,Alabama,Walker County
2009,01,129,19.4,2.0,Alabama,Washington County
2009,01,131,24.8,2.5,Alabama,Wilcox County
2009,01,133,22.3,2.2,Alabama,Winston County
2009,02,013,38.9,3.3,Alaska,Aleutians East Borough
2009,02,016,34.2,3.0,Alaska,Aleutians West Census Area
2009,02,020,23.0,1.6,Alaska,Anchorage Borough
2009,02,050,40.1,3.0,Alaska,Bethel Census Area
2009,02,060,28.9,2.8,Alaska,Bristol Bay Borough
2009,02,068,24.0,2.4,Alaska,Denali Borough
2009,02,070,37.5,3.1,Alaska,Dillingham Census Area
2009,02,090,24.5,2.1,Alaska,Fairbanks North Star Borough
2009,02,100,30.3,2.7,Alaska,Haines Borough
2009,02,105,37.9,3.1,Alaska,Hoonah-Angoon Census Area
2009,02,110,21.3,2.0,Alaska,Juneau Borough
2009,02,122,29.4,2.2,Alaska,Kenai Peninsula Borough
2009,02,130,28.4,2.5,Alaska,Ketchikan Gateway Borough
2009,02,150,33.3,2.8,Alaska,Kodiak Island Borough
2009,02,164,45.4,3.3,Alaska,Lake and Peninsula Borough
2009,02,170,27.8,2.1,Alaska,Matanuska-Susitna Borough
2009,02,180,38.9,3.1,Alaska,Nome Census Area
2009,02,185,32.2,2.9,Alaska,North Slope Borough
2009,02,188,37.3,3.1,Alaska,Northwest Arctic Borough
2009,02,195,29.6,2.7,Alaska,Petersburg Census Area
2009,02,198,31.7,2.7,Alaska,Prince of Wales-Hyder Census Area
2009,02,220,28.9,2.7,Alaska,Sitka Borough
2009,02,230,23.7,2.5,Alaska,Skagway Municipality
2009,02,240,34.5,2.8,Alaska,Southeast Fairbanks Census Area
2009,02,261,27.5,2.4,Alaska,Valdez-Cordova Census Area
2009,02,270,43.4,3.6,Alaska,Wade Hampton Census Area
2009,02,275,29.3,2.7,Alaska,Wrangell City and Borough
2009,02,282,35.7,3.1,Alaska,Yakutat Borough
2009,02,290,42.4,3.0,Alaska,Yukon-Koyukuk Census Area
2009,04,001,29.2,2.3,Arizona,Apache County
2009,04,003,18.7,1.6,Arizona,Cochise County
2009,04,005,22.5,1.9,Arizona,Coconino County
2009,04,007,21.2,2.0,Arizona,Gila County
2009,04,009,22.9,2.4,Arizona,Graham County
