year,statefips,countyfips,poverty_pct_all_ages,median_hh_income,name
2009,01,001,11.2,53081,Autauga County AL
2009,01,003,13.3,48637,Baldwin County AL
2009,01,005,32.8,28802,Barbour County AL
2009,01,007,18.1,38294,Bibb County AL
2009,01,009,14.6,41520,Blount County AL
2009,01,011,34.7,24206,Bullock County AL
2009,01,013,29.4,27794,Butler County AL
2009,01,015,19.0,37340,Calhoun County AL
2009,01,017,20.7,30621,Chambers County AL
2009,01,019,18.4,38024,Cherokee County AL
2009,01,021,18.7,38916,Chilton County AL
2009,01,023,22.8,31067,Choctaw County AL
2009,01,025,29.1,32729,Clarke County AL
2009,01,027,19.2,34831,Clay County AL
2009,01,029,17.0,37870,Cleburne County AL
2009,01,031,15.7,43296,Coffee County AL
2009,01,033,16.0,37111,Colbert County AL
2009,01,035,27.5,26882,Conecuh County AL
2009,01,037,16.7,34795,Coosa County AL
2009,01,039,22.5,32179,Covington County AL
2009,01,041,20.6,31849,Crenshaw County AL
2009,01,043,19.3,37425,Cullman County AL
2009,01,045,16.2,41279,Dale County AL
2009,01,047,35.0,27088,Dallas County AL
2009,01,049,21.7,33919,DeKalb County AL
2009,01,051,14.2,50194,Elmore County AL
2009,01,053,22.0,31443,Escambia County AL
2009,01,055,17.2,38575,Etowah County AL
2009,01,057,19.6,34262,Fayette County AL
2009,01,059,21.8,32588,Franklin County AL
2009,01,061,19.4,31347,Geneva County AL
2009,01,063,28.4,26131,Greene County AL
2009,01,065,26.6,30124,Hale County AL
2009,01,067,18.7,35215,Henry County AL
2009,01,069,17.7,38751,Houston County AL
2009,01,071,16.4,35015,Jackson County AL
2009,01,073,16.5,43312,Jefferson County AL
2009,01,075,18.2,31226,Lamar County AL
2009,01,077,14.5,39096,Lauderdale County AL
2009,01,079,16.2,36311,Lawrence County AL
2009,01,081,20.7,37836,Lee County AL
2009,01,083,13.5,46610,Limestone County AL
2009,01,085,28.8,28100,Lowndes County AL
2009,01,087,38.6,26328,Macon County AL
2009,01,089,10.3,57327,Madison County AL
2009,01,091,24.9,31867,Marengo County AL
2009,01,093,21.2,32317,Marion County AL
2009,01,095,19.1,37506,Marshall County AL
2009,01,097,18.7,39828,Mobile County AL
2009,01,099,23.4,30920,Monroe County AL
2009,01,101,19.9,41084,Montgomery County AL
2009,01,103,15.9,40317,Morgan County AL
2009,01,105,31.0,24351,Perry County AL
2009,01,107,28.0,29677,Pickens County AL
2009,01,109,27.6,31229,Pike County AL
2009,01,111,21.1,33869,Randolph County AL
2009,01,113,19.9,33537,Russell County AL
2009,01,115,13.8,45601,St. Clair County AL
2009,01,117,6.9,65408,Shelby County AL
2009,01,119,35.1,22857,Sumter County AL
2009,01,121,18.9,37260,Talladega County AL
2009,01,123,17.8,35702,Tallapoosa County AL
2009,01,125,19.9,41842,Tuscaloosa County AL
2009,01,127,16.0,36582,Walker County AL
2009,01,129,19.3,36946,Washington County AL
2009,01,131,34.6,22611,Wilcox County AL
2009,01,133,24.9,31062,Winston County AL
2009,02,013,13.9,50444,Aleutians East Borough AK
2009,02,016,9.1,58174,Aleutians West Census Area AK
2009,02,020,7.6,72210,Anchorage Borough AK
2009,02,050,20.7,41810,Bethel Census Area AK
2009,02,060,7.8,64418,Bristol Bay Borough AK
